user_id,experiment_type,q2,q3,q4,q6,q7,q8,q9,q10,q11,q12
242,abstraction,10,4,4,8,1,1,9,6,10,7
265,abstraction,8,4,4,5,5,3,7,5,4,6
667,abstraction,10,7,7,10,7,2,9,10,10,8
2011,abstraction,8,5,5,8,1,0,7,7,8,8
2037,abstraction,10,7,9,6,7,4,10,4,7,7
2038,abstraction,10,7,5,8,2,4,8,8,6,7
2042,abstraction,10,3,3,10,3,3,7,9,10,3
2044,abstraction,10,7,7,9,1,2,10,8,10,6
2084,abstraction,10,7,7,9,2,4,6,7,5,7
2086,abstraction,10,8,6,10,6,2,9,10,9,2
3011,abstraction,6,6,5,7,4,5,6,8,7,5
3011,abstraction,6,5,5,5,8,2,6,4,3,4
3021,abstraction,10,8,5,8,4,8,9,10,8,5
3052,abstraction,10,7,6,10,7,10,10,7,8,6
3090,abstraction,9,6,4,6,8,6,7,8,6,6
3165,abstraction,10,7,8,10,9,5,9,8,10,7
242,reward_shaping,10,5,4,5,2,1,10,8,8,8
265,reward_shaping,8,4,5,6,6,2,6,6,8,8
667,reward_shaping,10,8,8,10,8,1,9,9,10,9
2011,reward_shaping,8,5,5,5,6,2,5,1,3,5
2037,reward_shaping,7,7,7,3,6,3,4,5,2,1
2038,reward_shaping,9,7,7,10,1,2,9,9,9,10
2042,reward_shaping,10,4,3,10,1,0,10,5,10,5
2044,reward_shaping,10,6,3,4,10,1,4,7,4,3
2084,reward_shaping,10,7,6,9,2,2,6,7,7,8
2086,reward_shaping,10,8,7,10,1,1,10,10,10,8
3011,reward_shaping,10,8,7,8,10,1,10,8,7,8
3011,reward_shaping,5,7,5,9,7,4,9,6,4,4
3021,reward_shaping,10,6,3,9,7,4,4,9,8,9
3052,reward_shaping,10,7,5,10,4,0,10,8,9,9
3090,reward_shaping,10,6,7,2,1,3,7,6,2,2
3165,reward_shaping,10,8,8,10,1,3,10,9,10,10
242,similarities,7,5,5,1,8,1,8,6,7,7
265,similarities,7,5,4,2,5,1,6,4,2,5
667,similarities,9,8,6,10,7,3,9,5,6,9
2011,similarities,8,7,7,1,5,3,5,4,3,3
2037,similarities,10,7,7,6,7,3,7,7,9,6
2038,similarities,10,7,4,5,8,3,7,8,8,8
2042,similarities,10,3,3,8,4,5,10,4,10,2
2044,similarities,10,7,7,7,8,1,8,6,8,7
2084,similarities,7,8,9,9,7,3,7,4,8,9
2086,similarities,10,8,7,4,7,3,3,5,3,4
3011,similarities,4,7,5,2,8,2,2,5,1,1
3011,similarities,8,6,5,7,7,4,8,8,7,7
3021,similarities,10,8,5,8,7,4,4,8,8,9
3052,similarities,10,7,3,10,7,3,10,6,6,9
3090,similarities,7,5,5,5,7,1,7,5,4,5
3165,similarities,10,6,4,5,7,3,6,7,4,8
